,run,p,reward,agent
474,20,0.6,-1.0,RA
475,20,0.6,0.0,SRA
476,20,0.6,0.0,HA
477,20,0.6,1.0,NSA
478,20,0.6,0.0,naive SA
479,20,0.6,1.0,advanced SA
480,21,0.9,-1.0,RA
481,21,0.9,0.0,SRA
482,21,0.9,0.0,HA
483,21,0.9,1.0,NSA
484,21,0.9,1.0,naive SA
485,21,0.9,1.0,advanced SA
486,21,0.8,-1.0,RA
487,21,0.8,0.0,SRA
488,21,0.8,0.0,HA
489,21,0.8,1.0,NSA
490,21,0.8,1.0,naive SA
491,21,0.8,1.0,advanced SA
492,21,0.7,-1.0,RA
493,21,0.7,0.0,SRA
494,21,0.7,1.0,HA
495,21,0.7,1.0,NSA
496,21,0.7,1.0,naive SA
497,21,0.7,1.0,advanced SA
498,21,0.6,-1.0,RA
499,21,0.6,0.0,SRA
500,21,0.6,1.0,HA
501,21,0.6,1.0,NSA
502,21,0.6,1.0,naive SA
503,21,0.6,1.0,advanced SA
504,22,0.9,-1.0,RA
505,22,0.9,0.0,SRA
506,22,0.9,1.0,HA
507,22,0.9,1.0,NSA
508,22,0.9,1.0,naive SA
509,22,0.9,1.0,advanced SA
510,22,0.8,-1.0,RA
511,22,0.8,0.0,SRA
512,22,0.8,1.0,HA
513,22,0.8,1.0,NSA
514,22,0.8,1.0,naive SA
515,22,0.8,1.0,advanced SA
516,22,0.7,-1.0,RA
517,22,0.7,0.0,SRA
518,22,0.7,1.0,HA
519,22,0.7,1.0,NSA
520,22,0.7,0.0,naive SA
521,22,0.7,1.0,advanced SA
522,22,0.6,-1.0,RA
523,22,0.6,0.0,SRA
524,22,0.6,0.0,HA
525,22,0.6,1.0,NSA
526,22,0.6,0.0,naive SA
527,22,0.6,1.0,advanced SA
528,23,0.9,-1.0,RA
529,23,0.9,0.0,SRA
530,23,0.9,1.0,HA
531,23,0.9,1.0,NSA
532,23,0.9,0.0,naive SA
533,23,0.9,1.0,advanced SA
534,23,0.8,-1.0,RA
535,23,0.8,0.0,SRA
536,23,0.8,0.0,HA
537,23,0.8,1.0,NSA
538,23,0.8,0.0,naive SA
539,23,0.8,1.0,advanced SA
540,23,0.7,-1.0,RA
541,23,0.7,0.0,SRA
542,23,0.7,1.0,HA
543,23,0.7,1.0,NSA
544,23,0.7,0.0,naive SA
545,23,0.7,1.0,advanced SA
546,23,0.6,-1.0,RA
547,23,0.6,0.0,SRA
548,23,0.6,1.0,HA
549,23,0.6,1.0,NSA
550,23,0.6,1.0,naive SA
551,23,0.6,1.0,advanced SA
552,24,0.9,-1.0,RA
553,24,0.9,0.0,SRA
554,24,0.9,1.0,HA
555,24,0.9,1.0,NSA
556,24,0.9,1.0,naive SA
557,24,0.9,1.0,advanced SA
558,24,0.8,-1.0,RA
559,24,0.8,0.0,SRA
560,24,0.8,0.0,HA
561,24,0.8,1.0,NSA
562,24,0.8,0.0,naive SA
563,24,0.8,1.0,advanced SA
564,24,0.7,-1.0,RA
565,24,0.7,0.0,SRA
566,24,0.7,1.0,HA
567,24,0.7,1.0,NSA
568,24,0.7,0.0,naive SA
569,24,0.7,1.0,advanced SA
570,24,0.6,-1.0,RA
571,24,0.6,0.0,SRA
572,24,0.6,0.0,HA
573,24,0.6,1.0,NSA
574,24,0.6,1.0,naive SA
575,24,0.6,1.0,advanced SA
576,25,0.9,0.0,RA
577,25,0.9,0.0,SRA
578,25,0.9,1.0,HA
579,25,0.9,1.0,NSA
580,25,0.9,1.0,naive SA
581,25,0.9,1.0,advanced SA
582,25,0.8,-1.0,RA
583,25,0.8,0.0,SRA
584,25,0.8,0.0,HA
585,25,0.8,1.0,NSA
586,25,0.8,1.0,naive SA
587,25,0.8,1.0,advanced SA
588,25,0.7,-1.0,RA
589,25,0.7,0.0,SRA
590,25,0.7,1.0,HA
591,25,0.7,1.0,NSA
592,25,0.7,1.0,naive SA
593,25,0.7,1.0,advanced SA
594,25,0.6,-1.0,RA
595,25,0.6,0.0,SRA
596,25,0.6,1.0,HA
597,25,0.6,1.0,NSA
598,25,0.6,1.0,naive SA
599,25,0.6,1.0,advanced SA
600,26,0.9,0.0,RA
601,26,0.9,0.0,SRA
602,26,0.9,1.0,HA
603,26,0.9,1.0,NSA
604,26,0.9,1.0,naive SA
605,26,0.9,1.0,advanced SA
606,26,0.8,-1.0,RA
607,26,0.8,1.0,SRA
608,26,0.8,1.0,HA
609,26,0.8,1.0,NSA
610,26,0.8,1.0,naive SA
611,26,0.8,1.0,advanced SA
612,26,0.7,-1.0,RA
613,26,0.7,0.0,SRA
614,26,0.7,0.0,HA
615,26,0.7,1.0,NSA
616,26,0.7,1.0,naive SA
617,26,0.7,1.0,advanced SA
618,26,0.6,-1.0,RA
619,26,0.6,0.0,SRA
620,26,0.6,0.0,HA
621,26,0.6,1.0,NSA
622,26,0.6,0.0,naive SA
623,26,0.6,1.0,advanced SA
624,27,0.9,0.0,RA
625,27,0.9,0.0,SRA
626,27,0.9,1.0,HA
627,27,0.9,1.0,NSA
628,27,0.9,1.0,naive SA
629,27,0.9,1.0,advanced SA
630,27,0.8,-1.0,RA
631,27,0.8,0.0,SRA
632,27,0.8,0.0,HA
633,27,0.8,1.0,NSA
634,27,0.8,1.0,naive SA
635,27,0.8,1.0,advanced SA
636,27,0.7,-1.0,RA
637,27,0.7,0.0,SRA
638,27,0.7,1.0,HA
639,27,0.7,1.0,NSA
640,27,0.7,0.0,naive SA
641,27,0.7,1.0,advanced SA
642,27,0.6,-1.0,RA
643,27,0.6,0.0,SRA
644,27,0.6,0.0,HA
645,27,0.6,1.0,NSA
646,27,0.6,0.0,naive SA
647,27,0.6,1.0,advanced SA
648,28,0.9,-1.0,RA
649,28,0.9,0.0,SRA
650,28,0.9,1.0,HA
651,28,0.9,1.0,NSA
652,28,0.9,0.0,naive SA
653,28,0.9,1.0,advanced SA
654,28,0.8,-1.0,RA
655,28,0.8,0.0,SRA
656,28,0.8,0.0,HA
657,28,0.8,1.0,NSA
658,28,0.8,0.0,naive SA
659,28,0.8,1.0,advanced SA
660,28,0.7,-1.0,RA
661,28,0.7,0.0,SRA
662,28,0.7,0.0,HA
663,28,0.7,1.0,NSA
664,28,0.7,0.0,naive SA
665,28,0.7,1.0,advanced SA
666,28,0.6,-1.0,RA
667,28,0.6,0.0,SRA
668,28,0.6,0.0,HA
669,28,0.6,1.0,NSA
670,28,0.6,0.0,naive SA
671,28,0.6,1.0,advanced SA
672,29,0.9,-1.0,RA
673,29,0.9,0.0,SRA
674,29,0.9,1.0,HA
675,29,0.9,1.0,NSA
676,29,0.9,1.0,naive SA
677,29,0.9,1.0,advanced SA
678,29,0.8,-1.0,RA
679,29,0.8,0.0,SRA
680,29,0.8,0.0,HA
681,29,0.8,1.0,NSA
682,29,0.8,1.0,naive SA
683,29,0.8,1.0,advanced SA
